org_id,pwsid,is_multiple_pwsid,supplier_name,year,water_use_acre_feet,water_supplies_acre_feet,benefit_supply_augmentation_acre_feet,benefit_demand_reduction_acre_feet
13,CA3610001,FALSE,adelanto  city of,2021,4693,64406,NA,NA
22,NA,NA,alameda county flood control district  zone 7,2021,45200,55900,NA,NA
23,CA0110001,FALSE,alameda county water district,2021,44290,57422,0,0
30,CA1910001,FALSE,alhambra  city of,2021,11178,10933,0,245
55,"CA0310012, CA0300002, CA0310019, CA0310003, CA0310002",TRUE,amador water agency,2021,7785,18820,0,0
57,CA2810005,FALSE,american canyon  city of,2021,2636,2005,631,NA
64,CA3010001,FALSE,anaheim  city of,2021,58905,58905,NA,NA
66,CA4510001,FALSE,anderson  city of,2021,904,1048,NA,NA
79,NA,NA,antelope valley - east kern water agency,2021,39060,24080,14980,0
82,CA0710001,FALSE,antioch  city of,2021,4611,4841,NA,NA
87,CA3610003,FALSE,apple valley ranchos water company,2021,18441,18230,0,211
93,CA1910003,FALSE,arcadia  city of,2021,16555,16399,0,156
94,"CA1210001, CA1210021",TRUE,arcata  city of,2021,626,1369,NA,NA
99,CA4010001,FALSE,arroyo grande  city of,2021,2311,2311,NA,NA
102,CA1510001,FALSE,arvin community service district,2021,1057,1057,0,106
107,CA4010002,FALSE,atascadero mutual water company,2021,1793,1793,NA,NA
110,CA2410001,FALSE,atwater  city of,2021,6390,6390,NA,NA
117,CA1910007,FALSE,azusa light and water,2021,18314,30826,0,0
123,CA1510031,FALSE,bakersfield  city of,2021,46734,46734,NA,NA
124,CA1010001,FALSE,bakman water company,2021,1087,1087,0,0
129,CA3310006,FALSE,banning  city of,2021,8865,9507,0,886
159,CA3310002,FALSE,beaumont - cherry valley water district,2021,14054,5650,8404,0
167,CA4510014,FALSE,bella vista water district,2021,9969,22020,0,0
170,CA1910013,FALSE,bellflower - somerset mutual water company,2021,5875,8149,NA,NA
178,CA4810001,FALSE,benicia  city of,2021,10199,17695,NA,NA
193,CA1910156,FALSE,beverly hills  city of,2021,10164,10164,NA,NA
197,CA3610008,FALSE,big bear community services district,2021,1091,1091,0,0
198,"CA3610044, CA3600395, CA3600283, CA3610022",TRUE,big bear lake  city of,2021,2131,3100,NA,NA
241,CA3310003,FALSE,blythe  city of,2021,3424,6900,0,342
262,CA1310001,FALSE,brawley  city of,2021,2186,2359,NA,NA
263,CA3010002,FALSE,brea  city of,2021,9766,9766,0,0
264,CA0710004,FALSE,brentwood  city of,2021,3981,6231,NA,NA
283,CA3010003,FALSE,buena park  city of,2021,14266,14266,0,0
285,CA1910179,FALSE,burbank  city of,2021,14248,14248,0,0
286,CA4110003,FALSE,burlingame  city of,2021,1219,1219,0,0
351,"CA0510005, CA0510006, CA0510017, CA0510016, CA0510019, CA0510004",TRUE,calaveras county water district,2021,6224,86828,0,0
353,CA1310002,FALSE,calexico  city of,2021,2460,2920,0,246
368,"CA1910139, CA1910186, CA1910052",TRUE,california american water company - los angeles division,2021,19878,19878,0,0
369,"CA2701882, CA2710022, CA2710004, CA2701466",TRUE,california american water company - monterey district,2021,9399,9187,0,212
372,"CA3410045, CA3110150, CA3410027, CA3410017, CA3410013, CA3410012, CA3410023, CA5700712, CA3410031, CA3410010, CA3410047",TRUE,california american water company - sacramento district,2021,10390,41559,0,0
373,CA3710001,FALSE,california american water company - san diego district,2021,3220,3864,NA,NA
376,"CA5610040, CA5610081",TRUE,california american water company - ventura district,2021,15431,18559,0,0
384,"CA1500333, CA1910243, CA1910010, CA1910242",TRUE,california water service company antelope valley,2021,741,741,NA,NA
386,"CA1510003, CA1510055",TRUE,california water service company bakersfield,2021,60965,60965,NA,NA
387,CA4110006,FALSE,california water service company bear gulch,2021,13690,13690,0,0
388,"CA0410002, CA1110002",TRUE,california water service company chico district,2021,24528,24528,NA,NA
390,CA4810002,FALSE,"california water service company dixon, city of",2021,1459,1459,NA,NA
391,CA1910033,FALSE,california water service company dominguez,2021,34124,34124,NA,NA
392,CA1910036,FALSE,california water service company east los angeles,2021,14736,14736,NA,NA
396,CA1910134,FALSE,california water service company hermosa/redondo,2021,11354,11354,NA,NA
397,"CA1510026, CA1510043, CA1500407, CA1510049, CA1510056, CA1510039, CA1510033",TRUE,california water service company kern river valley,2021,792,792,NA,NA
398,CA2710009,FALSE,california water service company king city,2021,1752,1752,NA,NA
401,CA0110003,FALSE,california water service company livermore,2021,9910,9910,NA,NA
402,CA4310001,FALSE,california water service company los altos/suburban,2021,13953,13953,NA,NA
405,CA5810001,FALSE,california water service company marysville,2021,2101,2101,NA,NA
420,"CA4110008, CA4110007",TRUE,california water service company mid peninsula,2021,15016,15016,0,0
412,CA0410005,FALSE,california water service company oroville,2021,2880,2880,NA,NA
413,CA1910104,FALSE,california water service company palos verdes,2021,18453,18453,NA,NA
416,"CA1710005, CA4900546, CA2110007, CA4910018, CA4900514, CA4900785",TRUE,california water service company redwood valley,2021,392,392,NA,NA
417,"CA2701929, CA2710012, CA2710019, CA2710013, CA2710010",TRUE,california water service company salinas district,2021,17240,17240,NA,NA
421,CA1010024,FALSE,california water service company selma,2021,4783,4783,NA,NA
422,CA4110009,FALSE,california water service company south san francisco,2021,7469,7469,NA,NA
424,CA3910001,FALSE,california water service company stockton,2021,24832,24832,NA,NA
427,"CA5400935, CA5410016, CA5410041",TRUE,california water service company visalia,2021,31274,31274,NA,NA
428,CA5610016,FALSE,california water service company westlake,2021,7720,7720,NA,NA
429,CA1110003,FALSE,california water service company willows,2021,1425,1425,NA,NA
433,NA,NA,calleguas municipal water district,2021,100102,127602,NA,NA
443,CA5610019,FALSE,camarillo  city of,2021,7567,9087,0,0
445,CA4010014,FALSE,cambria community service district,2021,580,725,0,0
467,CA5610063,FALSE,camrosa water district,2021,15723,26800,0,0
478,CA3710005,FALSE,carlsbad municipal water district,2021,19108,19108,0,0
481,CA3410004,FALSE,carmichael water district,2021,9286,40695,NA,NA
485,CA4210001,FALSE,carpinteria valley water district,2021,4000,5667,0,800
495,CA5610024,FALSE,casitas municipal water district,2021,14525,10626,0,3899
1050,CA5610014,FALSE,casitas municipal water district - ojai,2021,1850,1663,NA,187
510,NA,NA,central basin municipal water district,2021,259143,308033,0,0
514,NA,NA,central coast water authority,2021,4838,4838,0,0
522,CA5010028,FALSE,ceres  city of,2021,2636,3258,NA,NA
524,CA1910019,FALSE,cerritos  city of,2021,11302,11232,0,70
545,CA3610012,FALSE,chino  city of,2021,24180,23877,0,303
546,NA,NA,chino basin desalter authority,2021,40000,40000,0,0
547,CA3610036,FALSE,chino hills  city of,2021,16166,29526,NA,NA
2979,CA2010001,FALSE,"chowchilla, city of water department",2021,876,3532,NA,NA
561,CA3410006,FALSE,citrus heights water district,2021,9876,9876,NA,NA
572,CA4910002,FALSE,cloverdale  city of,2021,414,385,NA,62
